[ 2026-03-28 12:10:30 | node_45 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 12:10:30 | node_47 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-28 12:10:30 | node_46 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-28 12:10:30 | node_46 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 12:10:30 | node_47 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-28 12:10:30 | node_48 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-28 12:10:30 | node_47 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 12:10:30 | node_49 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-28 12:10:30 | node_48 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-28 12:10:30 | node_48 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 12:10:31 | node_49 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-28 12:10:31 | node_49 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 12:10:31 | node | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-28 12:10:31 | node_13 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:31 | node_13 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:31 | node_8 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-28 12:10:31 | node_14 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:31 | node_8 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 12:10:31 | node_14 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:31 | node_8 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:31 | node_8 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:31 | node_15 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:31 | node_15 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:31 | node_16 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:31 | node_16 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:31 | node_18 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:31 | node_32 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:31 | node_17 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:31 | node_18 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:31 | node_32 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:31 | node_17 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:31 | node_33 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:31 | node_33 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:31 | node_19 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:31 | node_19 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:31 | node_44 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:31 | node_34 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:31 | node_20 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:31 | node_44 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:31 | node_34 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:31 | node_20 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:31 | node_21 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:31 | node_35 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:31 | node_45 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:31 | node_45 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:31 | node_35 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:31 | node_21 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:31 | node_46 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:31 | node_46 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:31 | node_22 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:31 | node | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 12:10:31 | node_47 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:31 | node_22 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:31 | node | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:31 | node_47 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:31 | node | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:31 | node_23 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:31 | node_23 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:31 | node_36 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_24 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_36 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_9 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_24 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_48 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_37 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_25 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_49 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_25 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_9 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_2 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_1 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_10 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_37 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_3 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_38 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_4 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_26 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_1 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_49 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_2 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_5 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_48 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_6 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_10 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_11 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_27 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_39 | INFO ] 🤫 Gossip finished.
[ 2026-03-28 12:10:32 | node_4 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_3 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_26 | INFO ] 🔬 Evaluating...
[ 2026-03-28 12:10:32 | node_38 | INFO ] 🔬 Evaluating...
