[ 2026-03-28 15:24:20 | node_44 | INFO ] Stopping node...
[ 2026-03-28 15:24:21 | node_44 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:21 | node_44 | INFO ] InMemoryServer stopped at node_44
[ 2026-03-28 15:24:21 | node_45 | INFO ] Stopping node...
[ 2026-03-28 15:24:21 | node_45 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:21 | node_45 | INFO ] InMemoryServer stopped at node_45
[ 2026-03-28 15:24:21 | node_46 | INFO ] Stopping node...
[ 2026-03-28 15:24:21 | node_46 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:21 | node_46 | INFO ] InMemoryServer stopped at node_46
[ 2026-03-28 15:24:22 | node_47 | INFO ] Stopping node...
[ 2026-03-28 15:24:22 | node_47 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:22 | node_47 | INFO ] InMemoryServer stopped at node_47
[ 2026-03-28 15:24:22 | node_48 | INFO ] Stopping node...
[ 2026-03-28 15:24:22 | node_48 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:23 | node_48 | INFO ] InMemoryServer stopped at node_48
[ 2026-03-28 15:24:23 | node_49 | INFO ] Stopping node...
[ 2026-03-28 15:24:23 | node_49 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:23 | node_49 | INFO ] InMemoryServer stopped at node_49
