[ 2025-12-18 22:53:35 | node_9 | INFO ] 🧩 Model added (4/5) from ['node_7']
[ 2025-12-18 22:53:36 | node_14 | INFO ] 🧩 Model added (4/5) from ['node_13']
[ 2025-12-18 22:53:36 | node_2 | INFO ] 🧩 Model added (3/5) from ['node']
[ 2025-12-18 22:53:36 | node_11 | INFO ] 🧩 Model added (3/5) from ['node_13']
[ 2025-12-18 22:53:36 | node_13 | INFO ] 🧩 Model added (5/5) from ['node']
[ 2025-12-18 22:53:36 | node_4 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_3', 'node_5', 'node_2', 'node_6']
[ 2025-12-18 22:53:36 | node_3 | INFO ] 🧩 Model added (3/5) from ['node_4']
[ 2025-12-18 22:53:36 | node | INFO ] 🧩 Model added (4/5) from ['node_13']
[ 2025-12-18 22:53:36 | node_5 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_4', 'node_6', 'node_3', 'node_7']
[ 2025-12-18 22:53:36 | node_13 | INFO ] 🧠 Aggregating models.
[ 2025-12-18 22:53:36 | node_4 | INFO ] 🧩 Model added (5/5) from ['node_5']
[ 2025-12-18 22:53:36 | node_5 | INFO ] 🧩 Model added (5/5) from ['node_4']
[ 2025-12-18 22:53:36 | node_6 | INFO ] 🧩 Model added (4/5) from ['node_5']
[ 2025-12-18 22:53:36 | node_2 | INFO ] 🧩 Model added (4/5) from ['node_4']
[ 2025-12-18 22:53:36 | node_13 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 22:53:36 | node_3 | INFO ] 🧩 Model added (4/5) from ['node_5']
[ 2025-12-18 22:53:36 | node_6 | INFO ] 🧩 Model added (5/5) from ['node_4']
[ 2025-12-18 22:53:36 | node_6 | INFO ] 🧠 Aggregating models.
[ 2025-12-18 22:53:36 | node_4 | INFO ] 🧠 Aggregating models.
[ 2025-12-18 22:53:36 | node_7 | INFO ] 🧩 Model added (4/5) from ['node_5']
[ 2025-12-18 22:53:36 | node_6 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 22:53:36 | node_5 | INFO ] 🧠 Aggregating models.
[ 2025-12-18 22:53:36 | node_4 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 22:53:36 | node_5 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 22:53:36 | node_10 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_9', 'node_11', 'node_8', 'node_12']
[ 2025-12-18 22:53:36 | node_9 | INFO ] 🧩 Model added (5/5) from ['node_10']
[ 2025-12-18 22:53:36 | node_11 | INFO ] 🧩 Model added (4/5) from ['node_10']
[ 2025-12-18 22:53:37 | node_8 | INFO ] 🧩 Model added (4/5) from ['node_10']
[ 2025-12-18 22:53:37 | node_12 | INFO ] 🧩 Model added (5/5) from ['node_10']
[ 2025-12-18 22:53:37 | node_12 | INFO ] 🧠 Aggregating models.
[ 2025-12-18 22:53:37 | node_12 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 22:53:37 | node_1 | INFO ] 📤 Sending model to 4 direct neighbors: ['node', 'node_2', 'node_3', 'node_14']
[ 2025-12-18 22:53:37 | node | INFO ] 🧩 Model added (5/5) from ['node_1']
[ 2025-12-18 22:53:37 | node | INFO ] 🧠 Aggregating models.
[ 2025-12-18 22:53:37 | node_2 | INFO ] 🧩 Model added (5/5) from ['node_1']
[ 2025-12-18 22:53:37 | node_2 | INFO ] 🧠 Aggregating models.
[ 2025-12-18 22:53:37 | node | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 22:53:37 | node_9 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_8', 'node_10', 'node_7', 'node_11']
[ 2025-12-18 22:53:37 | node_3 | INFO ] 🧩 Model added (5/5) from ['node_1']
[ 2025-12-18 22:53:37 | node_3 | INFO ] 🧠 Aggregating models.
[ 2025-12-18 22:53:37 | node_2 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 22:53:37 | node_8 | INFO ] 🧩 Model added (5/5) from ['node_9']
[ 2025-12-18 22:53:37 | node_8 | INFO ] 🧠 Aggregating models.
[ 2025-12-18 22:53:37 | node_14 | INFO ] 🧩 Model added (5/5) from ['node_1']
[ 2025-12-18 22:53:37 | node_14 | INFO ] 🧠 Aggregating models.
[ 2025-12-18 22:53:37 | node_1 | INFO ] 🧠 Aggregating models.
[ 2025-12-18 22:53:37 | node_10 | INFO ] 🧩 Model added (5/5) from ['node_9']
[ 2025-12-18 22:53:37 | node_3 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-18 22:53:37 | node_4 | INFO ] 🤫 Gossip finished.
[ 2025-12-18 22:53:37 | node_10 | INFO ] 🧠 Aggregating models.
