[ 2025-12-19 00:08:25 | node_14 | INFO ] 🚂 Train set of 15 nodes: ['node', 'node_3', 'node_4', 'node_13', 'node_11', 'node_7', 'node_8', 'node_6', 'node_12', 'node_5', 'node_1', 'node_9', 'node_14', 'node_2', 'node_10']
[ 2025-12-19 00:08:25 | node_14 | INFO ] 🔬 Evaluating...
[ 2025-12-19 00:08:25 | node_4 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 2.900176525115967, 'test_acc\n': 0.5640000104904175, 'test_precision\n': 0.2571059465408325, 'test_recall\n': 0.2352840006351471, 'test_f1\n': 0.2302805781364441}
[ 2025-12-19 00:08:25 | node_4 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 00:08:25 | node_9 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 1.0255661010742188, 'test_acc\n': 0.8023256063461304, 'test_precision\n': 0.5960371494293213, 'test_recall\n': 0.527947723865509, 'test_f1\n': 0.547134518623352}
[ 2025-12-19 00:08:25 | node_9 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 00:08:25 | node_4 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-19 00:08:25 | node_5 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 1.0910661220550537, 'test_acc\n': 0.9182509779930115, 'test_precision\n': 0.3486725389957428, 'test_recall\n': 0.31636354327201843, 'test_f1\n': 0.3302653431892395}
[ 2025-12-19 00:08:25 | node_5 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 00:08:25 | node_9 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-19 00:08:25 | node_5 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-19 00:08:25 | node_1 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-19 00:08:25 | node_1 | INFO ] 🚂 Train set of 15 nodes: ['node', 'node_3', 'node_4', 'node_13', 'node_11', 'node_7', 'node_8', 'node_6', 'node_12', 'node_5', 'node_1', 'node_9', 'node_14', 'node_2', 'node_10']
[ 2025-12-19 00:08:25 | node_8 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-19 00:08:25 | node_8 | INFO ] 🚂 Train set of 15 nodes: ['node', 'node_3', 'node_4', 'node_13', 'node_11', 'node_7', 'node_8', 'node_6', 'node_12', 'node_5', 'node_1', 'node_9', 'node_14', 'node_2', 'node_10']
[ 2025-12-19 00:08:25 | node_1 | INFO ] 🔬 Evaluating...
[ 2025-12-19 00:08:25 | node | INFO ] 🔢 Computed 15 votes.
[ 2025-12-19 00:08:25 | node | INFO ] 🚂 Train set of 15 nodes: ['node', 'node_3', 'node_4', 'node_13', 'node_11', 'node_7', 'node_8', 'node_6', 'node_12', 'node_5', 'node_1', 'node_9', 'node_14', 'node_2', 'node_10']
[ 2025-12-19 00:08:25 | node_8 | INFO ] 🔬 Evaluating...
[ 2025-12-19 00:08:25 | node | INFO ] 🔬 Evaluating...
[ 2025-12-19 00:08:25 | node_2 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.44361305236816406, 'test_acc\n': 0.9330586791038513, 'test_precision\n': 0.31634587049484253, 'test_recall\n': 0.30883222818374634, 'test_f1\n': 0.3104352355003357}
[ 2025-12-19 00:08:25 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-19 00:08:25 | node_2 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-19 00:08:25 | node_7 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-19 00:08:25 | node_7 | INFO ] 🚂 Train set of 15 nodes: ['node', 'node_3', 'node_4', 'node_13', 'node_11', 'node_7', 'node_8', 'node_6', 'node_12', 'node_5', 'node_1', 'node_9', 'node_14', 'node_2', 'node_10']
[ 2025-12-19 00:08:25 | node_7 | INFO ] 🔬 Evaluating...
[ 2025-12-19 00:08:25 | node_6 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-19 00:08:25 | node_6 | INFO ] 🚂 Train set of 15 nodes: ['node', 'node_3', 'node_4', 'node_13', 'node_11', 'node_7', 'node_8', 'node_6', 'node_12', 'node_5', 'node_1', 'node_9', 'node_14', 'node_2', 'node_10']
[ 2025-12-19 00:08:25 | node_6 | INFO ] 🔬 Evaluating...
[ 2025-12-19 00:08:26 | node_10 | INFO ] 🔢 Computed 15 votes.
