[ 2026-05-13 19:22:29 | node_11 | INFO ] ♻️ Proactively processing 6 early models for round 46.
[ 2026-05-13 19:22:29 | node_11 | INFO ] 🧩 Model added for round 46 (1/13) from ['node_2']
[ 2026-05-13 19:22:29 | node_11 | INFO ] 🧩 Model added for round 46 (2/13) from ['node_12']
[ 2026-05-13 19:22:29 | node_11 | INFO ] 🧩 Model added for round 46 (3/13) from ['node_5']
[ 2026-05-13 19:22:29 | node_11 | INFO ] 🧩 Model added for round 46 (4/13) from ['node_4']
[ 2026-05-13 19:22:29 | node_11 | INFO ] 🧩 Model added for round 46 (5/13) from ['node_10']
[ 2026-05-13 19:22:29 | node_7 | INFO ] 🎉 Round 46 of 50 finished.
[ 2026-05-13 19:22:29 | node_11 | INFO ] 🧩 Model added for round 46 (6/13) from ['node_6']
[ 2026-05-13 19:22:29 | node_11 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 19:22:29 | node_7 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 19:22:29 | node_7 | INFO ] ♻️ Proactively processing 5 early models for round 46.
[ 2026-05-13 19:22:29 | node_7 | INFO ] 🧩 Model added for round 46 (1/9) from ['node_49']
[ 2026-05-13 19:22:30 | node_7 | INFO ] 🧩 Model added for round 46 (2/9) from ['node_5']
[ 2026-05-13 19:22:30 | node_17 | INFO ] 🧩 Model added for round 46 (7/9) from ['node_20']
[ 2026-05-13 19:22:30 | node_7 | INFO ] 🧩 Model added for round 46 (3/9) from ['node_26']
[ 2026-05-13 19:22:30 | node_7 | INFO ] 🧩 Model added for round 46 (4/9) from ['node_39']
[ 2026-05-13 19:22:30 | node_11 | INFO ] 🎓 Training step done.
[ 2026-05-13 19:22:30 | node_7 | INFO ] 🧩 Model added for round 46 (5/9) from ['node_6']
[ 2026-05-13 19:22:30 | node_11 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 19:22:30 | node_7 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 19:22:30 | node_11 | INFO ] ✅ [FORCE] Local model added for round 46. (7/13)
[ 2026-05-13 19:22:30 | node_41 | INFO ] 🧩 Model added for round 46 (5/7) from ['node_6']
[ 2026-05-13 19:22:30 | node_7 | INFO ] 🎓 Training step done.
