[ 2026-05-13 06:01:58 | node_29 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 06:01:59 | node_29 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 06:01:59 | node_29 | INFO ] 🎓 Training step done.
[ 2026-05-13 06:01:59 | node_29 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 06:01:59 | node_29 | INFO ] ✅ [FORCE] Local model added for round 47. (1/9)
[ 2026-05-13 06:02:01 | node_36 | INFO ] 🎉 Round 47 of 50 finished.
[ 2026-05-13 06:02:01 | node_36 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 06:02:02 | node_36 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 06:02:02 | node_36 | INFO ] 🎓 Training step done.
[ 2026-05-13 06:02:02 | node_36 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 06:02:02 | node_36 | INFO ] ✅ [FORCE] Local model added for round 47. (1/8)
[ 2026-05-13 06:02:04 | node_29 | INFO ] 📤 Sending model to 8 direct neighbors: ['node', 'node_5', 'node_7', 'node_21', 'node_27', 'node_40', 'node_44', 'node_46']
[ 2026-05-13 06:02:07 | node_36 | INFO ] 📤 Sending model to 7 direct neighbors: ['node_3', 'node_20', 'node_21', 'node_28', 'node_37', 'node_38', 'node_40']
[ 2026-05-13 06:02:29 | node_24 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 06:02:29 | node_22 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 06:02:29 | node_24 | INFO ] 🔬 Evaluating...
[ 2026-05-13 06:02:29 | node_9 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 06:02:29 | node_22 | INFO ] 🔬 Evaluating...
[ 2026-05-13 06:02:29 | node_9 | INFO ] 🔬 Evaluating...
[ 2026-05-13 06:02:30 | node_24 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.39949625730514526, 'test_acc': 0.9549999833106995, 'test_precision': 0.9567936062812805, 'test_recall': 0.9567041993141174, 'test_f1': 0.9553054571151733, 'communication_cost': 11290188}
[ 2026-05-13 06:02:30 | node_24 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 06:02:30 | node_22 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2563686668872833, 'test_acc': 0.949999988079071, 'test_precision': 0.9496932029724121, 'test_recall': 0.9513250589370728, 'test_f1': 0.9495419859886169, 'communication_cost': 41397356}
[ 2026-05-13 06:02:30 | node_9 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.06546599417924881, 'test_acc': 0.9850000143051147, 'test_precision': 0.9819445013999939, 'test_recall': 0.9859962463378906, 'test_f1': 0.9833005666732788, 'communication_cost': 41397356}
[ 2026-05-13 06:02:30 | node_22 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 06:02:30 | node_9 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 06:02:31 | node_24 | INFO ] 🎉 Round 47 of 50 finished.
[ 2026-05-13 06:02:31 | node_24 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 06:02:31 | node_24 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 06:02:32 | node_24 | INFO ] 🎓 Training step done.
[ 2026-05-13 06:02:32 | node_24 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 06:02:32 | node_24 | INFO ] ✅ [FORCE] Local model added for round 47. (1/4)
[ 2026-05-13 06:02:32 | node_7 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 06:02:32 | node_7 | INFO ] 🔬 Evaluating...
